code_region,nom_region,meilleure_estimation_des_locaux_t2_2022,annee,trimestre,nombre_de_logements_raccordables
,Bourgogne-Franche-Comté,1825880.4693454427,2019,3,410000.0
,Normandie,2083571.8925923829,2019,3,643500.0
,Hauts-de-France,3288929.5296595893,2019,3,1613400.0
,Grand Est,3379412.494233274,2019,3,1135800.0
,Pays de la Loire,2403745.1265702206,2019,3,688500.0
,Bretagne,2237897.5016156817,2019,3,594700.0
,Nouvelle-Aquitaine,4142970.690017572,2019,3,1067000.0
,Occitanie,4255336.006700608,2019,3,1130200.0
,Auvergne-Rhône-Alpes,5338955.683308109,2019,3,1980000.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2019,3,1378500.0
,Corse,288810.1737909364,2019,3,58300.0
,Île-de-France,7180451.388412536,2019,4,5322308.0
,Centre-Val de Loire,1623810.9022613915,2019,4,594997.0
,Bourgogne-Franche-Comté,1825880.4693454427,2019,4,460561.0
,Normandie,2083571.8925923829,2019,4,726535.0
,Hauts-de-France,3288929.5296595893,2019,4,1823800.0
,Grand Est,3379412.494233274,2019,4,1280488.0
,Pays de la Loire,2403745.1265702206,2019,4,781856.0
,Bretagne,2237897.5016156817,2019,4,638672.0
,Nouvelle-Aquitaine,4142970.690017572,2019,4,1197259.0
,Occitanie,4255336.006700608,2019,4,1287801.0
,Auvergne-Rhône-Alpes,5338955.683308109,2019,4,2190340.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2019,4,1512237.0
,Corse,288810.1737909364,2019,4,68034.0
,Île-de-France,7180451.388412536,2020,1,5519484.0
,Centre-Val de Loire,1623810.9022613915,2020,1,640837.0
,Bourgogne-Franche-Comté,1825880.4693454427,2020,1,499913.0
,Normandie,2083571.8925923829,2020,1,768292.0
,Hauts-de-France,3288929.5296595893,2020,1,1995905.0
,Grand Est,3379412.494233274,2020,1,1384120.0
,Pays de la Loire,2403745.1265702206,2020,1,850817.0
,Bretagne,2237897.5016156817,2020,1,680930.0
,Nouvelle-Aquitaine,4142970.690017572,2020,1,1282540.0
,Occitanie,4255336.006700608,2020,1,1418380.0
,Auvergne-Rhône-Alpes,5338955.683308109,2020,1,2315195.0
,Provence-Alpes-Côte d'Azur,3656486.868976288,2020,1,1616462.0
,Corse,288810.1737909364,2020,1,71815.0
,Île-de-France,7180451.388412536,2020,2,5713544.0
,Centre-Val de Loire,1623810.9022613915,2020,2,685758.0
,Bourgogne-Franche-Comté,1825880.4693454427,2020,2,533466.0
,Normandie,2083571.8925923829,2020,2,814028.0
,Hauts-de-France,3288929.5296595893,2020,2,2152301.0
,Grand Est,3379412.494233274,2020,2,1504115.0
,Pays de la Loire,2403745.1265702206,2020,2,910894.0
